Year,Month,National Unemployment Rate,Maryland Unemployment Rate,National Jobs Created/Lost,Maryland Jobs Created/Lost,National Jobs,Maryland Jobs,Maryland Civilian Labor Force,Maryland Employment,Maryland Unemployment,Maryland Job Growth Since Post Recession Bottom,Jobs Recovered Goal (to Reach Pre-Recession Peak),% Jobs Recovered (Maryland)
2003,Jan-03,5.8,4.4,89000,3800,130380000,2481200,2877486,2751073,126413,,,
2003,Feb-03,5.9,4.4,-158000,-8900,130222000,2472300,2880667,2753183,127484,,,
2003,Mar-03,5.9,4.5,-215000,1400,130007000,2473700,2883634,2754857,128777,,,
2003,Apr-03,6,4.5,-51000,9900,129956000,2483600,2885217,2755103,130114,,,
2003,May-03,6.1,4.6,-10000,1400,129946000,2485000,2884649,2753378,131271,,,
2003,Jun-03,6.3,4.6,-3000,3600,129943000,2488600,2882930,2750986,131944,,,
2003,Jul-03,6.2,4.6,20000,500,129963000,2489100,2881072,2749615,131457,,,
2003,Aug-03,6.1,4.5,-44000,-2900,129919000,2486200,2880620,2750120,130500,,,
2003,Sep-03,6.1,4.5,105000,9400,130024000,2495600,2881693,2752706,128987,,,
2003,Oct-03,6,4.4,197000,-5900,130221000,2489700,2884333,2756996,127337,,,
2003,Nov-03,5.8,4.4,13000,3700,130234000,2493400,2887854,2761925,125929,,,
2003,Dec-03,5.7,4.3,119000,2100,130353000,2495500,2890748,2766177,124571,,,
2004,Jan-04,5.7,4.3,159000,4300,130512000,2499800,2892514,2768846,123668,,,
2004,Feb-04,5.6,4.2,43000,-2400,130555000,2497400,2892375,2769503,122872,,,
2004,Mar-04,5.8,4.3,333000,8500,130888000,2505900,2891135,2768251,122884,,,
2004,Apr-04,5.6,4.3,247000,-300,131135000,2505600,2888983,2765933,123050,,,
2004,May-04,5.6,4.3,306000,5200,131441000,2510800,2887539,2763924,123615,,,
2004,Jun-04,5.6,4.3,78000,6000,131519000,2516800,2887745,2763642,124103,,,
2004,Jul-04,5.5,4.3,37000,3400,131556000,2520200,2890054,2765732,124322,,,
2004,Aug-04,5.4,4.3,125000,4800,131681000,2525000,2894168,2769914,124254,,,
2004,Sep-04,5.4,4.3,155000,-1200,131836000,2523800,2899180,2775153,124027,,,
2004,Oct-04,5.5,4.3,343000,8300,132179000,2532100,2904221,2780084,124137,,,
2004,Nov-04,5.4,4.3,65000,-700,132244000,2531400,2908348,2784048,124300,,,
2004,Dec-04,5.4,4.3,128000,4700,132372000,2536100,2911995,2787405,124590,,,
2005,Jan-05,5.3,4.3,130000,400,132502000,2536500,2915688,2791098,124590,,,
2005,Feb-05,5.4,4.3,240000,4000,132742000,2540500,2920617,2795910,124707,,,
2005,Mar-05,5.2,4.2,135000,-6200,132877000,2534300,2926047,2801809,124238,,,
2005,Apr-05,5.2,4.2,362000,12400,133239000,2546700,2932133,2808330,123803,,,
2005,May-05,5.1,4.2,168000,3500,133407000,2550200,2938370,2815065,123305,,,
2005,Jun-05,5,4.2,246000,700,133653000,2550900,2944441,2821680,122761,,,
2005,Jul-05,5,4.1,372000,10400,134025000,2561300,2950512,2828071,122441,,,
2005,Aug-05,4.9,4.1,192000,2200,134217000,2563500,2956273,2834482,121791,,,
2005,Sep-05,5,4.1,65000,8900,134282000,2572400,2962121,2841230,120891,,,
2005,Oct-05,5,4,81000,-6300,134363000,2566100,2967508,2848552,118956,,,
2005,Nov-05,5,3.9,335000,3500,134698000,2569600,2972708,2856326,116382,,,
2005,Dec-05,4.8,3.8,158000,2300,134856000,2571900,2977185,2863928,113257,,,
2006,Jan-06,4.7,3.7,277000,6400,135402000,2578300,2984362,2873492,110870,,,
2006,Feb-06,4.8,3.7,315000,2600,135717000,2580900,2989315,2879788,109527,,,
2006,Mar-06,4.7,3.7,280000,8600,135997000,2589500,2994070,2884056,110014,,,
2006,Apr-06,4.7,3.7,182000,-1600,136179000,2587900,2998238,2885850,112388,,,
2006,May-06,4.6,3.9,23000,-1100,136202000,2586800,3001502,2885929,115573,,,
2006,Jun-06,4.6,3.9,77000,2700,136279000,2589500,3004115,2885811,118304,,,
2006,Jul-06,4.7,4,207000,-2600,136486000,2586900,3007246,2887489,119757,,,
2006,Aug-06,4.7,4,184000,1300,136670000,2588200,3011649,2891943,119706,,,
2006,Sep-06,4.5,3.9,157000,3000,136827000,2591200,3017174,2898551,118623,,,
2006,Oct-06,4.4,3.9,2000,1500,136829000,2592700,3022636,2905876,116760,,,
2006,Nov-06,4.5,3.8,210000,1000,137039000,2593700,3026616,2912065,114551,,,
2006,Dec-06,4.4,3.7,171000,6900,137210000,2600600,3027758,2915717,112041,,,
2007,Jan-07,4.6,3.6,238000,5000,137448000,2605600,2994935,2886839,108096,,,
2007,Feb-07,4.5,3.5,88000,-6600,137536000,2599000,2990894,2885818,105076,,,
2007,Mar-07,4.4,3.4,188000,10200,137724000,2609200,2986050,2883350,102700,,,
2007,Apr-07,4.5,3.4,78000,-5800,137802000,2603400,2981921,2880394,101527,,,
2007,May-07,4.4,3.4,144000,3600,137946000,2607000,2979380,2877787,101593,,,
2007,Jun-07,4.6,3.4,71000,600,138017000,2607600,2979172,2876710,102462,,,
2007,Jul-07,4.7,3.5,-33000,1700,137984000,2609300,2981197,2877749,103448,,,
2007,Aug-07,4.6,3.5,-16000,200,137968000,2609500,2984767,2881028,103739,,,
2007,Sep-07,4.7,3.5,85000,-1500,138053000,2608000,2989595,2886395,103200,,,
2007,Oct-07,4.7,3.4,82000,0,138135000,2608000,2994628,2892749,101879,,,
2007,Nov-07,4.7,3.3,118000,1400,138253000,2609400,2999095,2899008,100087,,,
2007,Dec-07,5,3.3,97000,3000,138350000,2612400,3003362,2904781,98581,,,
2008,Jan-08,5,3.3,15000,2700,138365000,2615100,3002147,2904381,97766,,,
2008,Feb-08,4.9,3.3,-86000,800,138279000,2615900,3006051,2907245,98806,,,
2008,Mar-08,5.1,3.4,-80000,-4400,138199000,2611500,3010322,2908126,102196,,,
2008,Apr-08,5,3.6,-214000,1000,137985000,2612500,3014630,2906897,107733,,,
2008,May-08,5.4,3.8,-182000,-5600,137803000,2606900,3018666,2903684,114982,,,
2008,Jun-08,5.6,4.1,-172000,-8200,137631000,2598700,3022045,2899467,122578,,,
2008,Jul-08,5.8,4.3,-210000,3200,137421000,2601900,3024968,2894882,130086,,,
2008,Aug-08,6.1,4.5,-259000,-2900,137162000,2599000,3027513,2890212,137301,,,
2008,Sep-08,6.1,4.8,-452000,-10000,136710000,2589000,3030038,2884922,145116,,,
2008,Oct-08,6.5,5.1,-474000,-2800,136236000,2586200,3032826,2878127,154699,,,
2008,Nov-08,6.8,5.5,-765000,-9900,135471000,2576300,3035490,2869455,166035,,,
2008,Dec-08,7.3,5.9,-697000,-8700,134774000,2567600,3037888,2859299,178589,,,
2009,Jan-09,7.8,6.3,-798000,-13600,133976000,2554000,3039935,2848981,190954,,,
2009,Feb-09,8.3,6.6,-701000,-9000,133275000,2545000,3041502,2839276,202226,,,
2009,Mar-09,8.7,6.9,-826000,-12500,132449000,2532500,3042674,2831284,211390,,,
2009,Apr-09,9,7.2,-684000,-6900,131765000,2525600,3043060,2824898,218162,,,
2009,May-09,9.4,7.3,-354000,2900,131411000,2528500,3042315,2819106,223209,,,
2009,Jun-09,9.5,7.5,-467000,-3600,130944000,2524900,3040218,2813466,226752,,,
2009,Jul-09,9.5,7.6,-327000,-6800,130617000,2518100,3037184,2807837,229347,,,
2009,Aug-09,9.6,7.6,-216000,-4600,130401000,2513500,3033977,2802696,231281,,,
2009,Sep-09,9.8,7.7,-227000,-4800,130174000,2508700,3031459,2798477,232982,,,
2009,Oct-09,10,7.8,-198000,-1900,129976000,2506800,3030334,2795169,235165,,,
2009,Nov-09,9.9,7.9,-6000,-200,129970000,2506600,3031764,2793644,238120,,,
2009,Dec-09,9.9,8,-283000,-4300,129687000,2502300,3036845,2795168,241677,,,
2010,Jan-10,9.7,8,18000,-1600,129705000,2500700,3045052,2800741,244311,,,
2010,Feb-10,9.8,8,-50000,-32800,129655000,2467900,3054628,2809453,245175,0,148000,0.0%
2010,Mar-10,9.9,8,156000,32400,129811000,2500300,3063350,2818886,244464,32400,148000,21.9%
2010,Apr-10,9.9,7.9,251000,15300,130062000,2515600,3070069,2827049,243020,47700,148000,32.2%
2010,May-10,9.6,7.8,516000,11200,130578000,2526800,3074462,2832942,241520,58900,148000,39.8%
2010,Jun-10,9.4,7.8,-122000,400,130456000,2527200,3076942,2836467,240475,59300,148000,40.1%
2010,Jul-10,9.5,7.8,-61000,-1600,130395000,2525600,3078600,2838203,240397,57700,148000,39.0%
2010,Aug-10,9.5,7.8,-42000,-100,130353000,2525500,3080475,2839703,240772,57600,148000,38.9%
2010,Sep-10,9.5,7.8,-57000,-2400,130296000,2523100,3082743,2842009,240734,55200,148000,37.3%
2010,Oct-10,9.5,7.8,241000,7800,130537000,2530900,3085313,2845804,239509,63000,148000,42.6%
2010,Nov-10,9.8,7.7,137000,-3300,130674000,2527600,3087428,2850636,236792,59700,148000,40.3%
2010,Dec-10,9.4,7.5,71000,3200,130745000,2530800,3088875,2855939,232936,62900,148000,42.5%
2011,Jan-11,9.1,7.4,70000,-1200,130815000,2529600,3090500,2861634,228866,61700,148000,41.7%
2011,Feb-11,9,7.3,168000,4900,130983000,2534500,3092356,2866812,225544,66600,148000,45.0%
2011,Mar-11,9,7.2,212000,2000,131195000,2536500,3093118,2869533,223585,68600,148000,46.4%
2011,Apr-11,9.1,7.2,322000,1500,131517000,2538000,3092373,2868694,223679,70100,145800,47.4%
2011,May-11,9,7.3,102000,1000,131619000,2539000,3091083,2865093,225990,71100,148000,48.0%
2011,Jun-11,9.1,7.4,217000,2200,131836000,2541200,3090689,2861523,229166,73300,148000,49.5%
2011,Jul-11,9,7.5,106000,8100,131942000,2549300,3092086,2860797,231289,81400,148000,55.0%
2011,Aug-11,9,7.5,122000,-6500,132064000,2542800,3095294,2864046,231248,74900,148000,50.6%
2011,Sep-11,9,7.4,221000,5700,132285000,2548500,3099688,2870751,228937,80600,148000,54.5%
2011,Oct-11,8.8,7.3,183000,2800,132468000,2551300,3104505,2879372,225133,83400,148000,56.4%
2011,Nov-11,8.6,7.1,164000,-300,132632000,2551000,3108533,2887816,220717,83100,148000,56.1%
2011,Dec-11,8.5,7,196000,4500,132828000,2555500,3111572,2894901,216671,87600,148000,59.2%
2012,Jan-12,8.3,6.9,360000,8400,133188000,2563900,3113922,2900569,213353,96000,148000,64.9%
2012,Feb-12,8.3,6.8,226000,2300,133414000,2566200,3116660,2905158,211502,98300,148000,66.4%
2012,Mar-12,8.2,6.8,243000,6900,133657000,2573100,3119141,2907655,211486,105200,148000,71.1%
2012,Apr-12,8.2,6.8,96000,-6500,133753000,2566600,3120416,2907360,213056,98700,148000,66.7%
2012,May-12,8.2,6.9,110000,3200,133863000,2569800,3120941,2905176,215765,101900,148000,68.9%
2012,Jun-12,8.2,7,88000,3700,133951000,2573500,3121612,2903264,218348,105600,148000,71.4%
2012,Jul-12,8.2,7,160000,-2400,134111000,2571100,3123420,2903447,219973,103200,148000,69.7%
2012,Aug-12,8.1,7,150000,2800,134261000,2573900,3126548,2906442,220106,106000,148000,71.6%
2012,Sep-12,7.8,7,161000,7600,134422000,2581500,3130964,2911801,219163,113600,148000,76.8%
2012,Oct-12,7.8,6.9,225000,1000,134647000,2582500,3135604,2917710,217894,114600,148000,77.4%
2012,Nov-12,7.8,6.9,203000,3000,134850000,2585500,3138939,2922463,216476,117600,148000,79.5%
2012,Dec-12,7.9,6.9,214000,900,135064000,2586400,3140858,2925600,215258,118500,148000,80.1%
2013,Jan-13,7.9,6.8,197000,4600,135261000,2591000,3141368,2927444,213924,123100,148000,83.2%
2013,Feb-13,7.7,6.8,280000,4000,135541000,2595000,3141186,2928690,212496,127100,148000,85.9%
2013,Mar-13,7.5,6.7,141000,-2500,135682000,2592500,3140441,2929100,211341,124600,148000,84.2%
2013,Apr-13,7.5,6.7,203000,-400,135885000,2592100,3139079,2928528,210551,124200,148000,83.9%
2013,May-13,7.5,6.7,199000,2800,136084000,2594900,3136530,2925976,210554,127000,148000,85.8%
2013,Jun-13,7.5,6.7,201000,200,136285000,2595100,3132832,2922014,210818,127200,148000,85.9%
2013,Jul-13,7.3,6.7,149000,-1200,136434000,2593900,3128318,2918215,210103,126000,148000,85.1%
2013,Aug-13,7.2,6.6,202000,3100,136636000,2597000,3123364,2916002,207362,129100,148000,87.2%
2013,Sep-13,7.2,6.5,164000,500,136800000,2597500,3118343,2915460,202883,129600,148000,87.6%
2013,Oct-13,7.2,6.4,237000,700,137037000,2598200,3113940,2916090,197850,130300,148000,88.0%
2013,Nov-13,7,6.2,274000,6800,137311000,2605000,3109789,2917112,192677,137100,148000,92.6%
2013,Dec-13,6.7,6.1,84000,4300,137395000,2609300,3107008,2919013,187995,141400,148000,95.5%
2014,Jan-14,6.6,5.8,144000,-6100,137539000,2603200,3109348,2927735,181613,135300,148000,91.4%
2014,Feb-14,6.7,5.6,222000,1000,137761000,2604200,3109151,2933498,175653,136300,148000,92.1%
2014,Mar-14,6.7,5.6,203000,3500,137964000,2606500,3108307,2934224,174083,139800,148000,93.6%
2014,Apr-14,6.3,5.5,288000,9300,138252000,2617000,3110695,2938947,171748,149100,148000,100.0%
